state,diet_need,day_of_week,meal_type,dish,allergens,instructions,exercise,warning
Maharashtra,bulking,Monday,breakfast,Egg Bhurji with Pav,"Eggs, Wheat","Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Monday,lunch,Chicken Biryani,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Monday,snack,Banana and Nuts,Peanuts,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Monday,dinner,Paneer Curry with Naan,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Tuesday,breakfast,Puri Bhaji,Wheat,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Tuesday,lunch,Mutton Rogan Josh with Rice,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Tuesday,snack,Protein Shake,Milk,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Tuesday,dinner,Chicken Curry and Rice,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Wednesday,breakfast,Omelette and Toast,"Eggs, Wheat","Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Wednesday,lunch,Fish Fry with Chapati,"Fish, Wheat","Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Wednesday,snack,Peanut Butter Sandwich,"Peanuts, Wheat","Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Wednesday,dinner,Keema Pav,Wheat,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Thursday,breakfast,Chole Bhature,Wheat,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Thursday,lunch,Chicken Masala with Paratha,"None, Wheat","Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Thursday,snack,Dried Fruits,Sulphites,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Thursday,dinner,Mutter Paneer and Roti,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Friday,breakfast,Misal Pav,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Friday,lunch,Mutton Curry with Rice,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Friday,snack,Whey Protein,Milk,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Friday,dinner,Fish Curry and Rice,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Saturday,breakfast,Vada Pav (moderated),None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Saturday,lunch,Anda Curry with Roti,"Eggs, Wheat","Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Saturday,snack,Boiled Eggs,Eggs,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Saturday,dinner,Prawn Curry and Rice,Shellfish,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Sunday,breakfast,Pav Bhaji,Wheat,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Sunday,lunch,Chicken Thali,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Sunday,snack,Sweet Potato,None,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,bulking,Sunday,dinner,Kofta Curry with Rice,Milk,"Ensure adequate protein intake for muscle growth. Eat frequent, nutrient-dense meals. Stay hydrated.","Focus on heavy compound lifts (squats, deadlifts, bench press) 3-4 times a week. Include some cardio for heart health.","Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Monday,breakfast,Aloo Paratha with Butter,"Wheat, Milk",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Monday,lunch,Paneer Butter Masala with Naan,"Milk, Wheat",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Monday,snack,Milkshake,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Monday,dinner,Malai Kofta and Rice,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Tuesday,breakfast,Poori Sabzi,Wheat,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Tuesday,lunch,Chicken Handi with Roti,"None, Wheat",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Tuesday,snack,Ladoo,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Tuesday,dinner,Mutton Biryani,None,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Wednesday,breakfast,Upma with Ghee,"None, Milk",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Wednesday,lunch,Egg Curry with Rice,Eggs,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Wednesday,snack,Dried Fruits and Nuts,"Nuts, Sulphites",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Wednesday,dinner,Butter Chicken with Naan,"Milk, Wheat",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Thursday,breakfast,Sheera,"Wheat, Milk",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Thursday,lunch,Dal Makhani with Laccha Paratha,"Milk, Wheat",Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Thursday,snack,Banana Shake,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Thursday,dinner,Fish Curry with Rice,Fish,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Friday,breakfast,Poha with Sev,None,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Friday,lunch,Kofta Curry with Rice,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Friday,snack,Boiled Potatoes,None,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Friday,dinner,Hyderabadi Biryani,None,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Saturday,breakfast,Dosa with Ghee,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Saturday,lunch,Chicken Tikka Masala,None,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Saturday,snack,Samosa,Wheat,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Saturday,dinner,Shahi Paneer,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Sunday,breakfast,Medu Vada with Sambhar,None,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Sunday,lunch,Fish Fry with Rice,Fish,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Sunday,snack,Jalebi,Wheat,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_gain,Sunday,dinner,Ghee Roast Chicken,Milk,Increase calorie intake with healthy fats and complex carbohydrates. Eat frequently and don't skip meals. Incorporate healthy snacks.,Strength training is key. Aim for 3-4 sessions per week focusing on progressive overload. Limit excessive cardio.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,maintaining_balanced_diet,Monday,breakfast,Idli Sambar,None,"Maintain a varied diet with a balance of macronutrients. Listen to your body's hunger cues. Prioritize whole, unprocessed foods.",Engage in moderate physical activity for at least 30 minutes most days of the week. Mix cardio and strength.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,maintaining_balanced_diet,Monday,lunch,Dal Tadka with Rice,None,"Maintain a varied diet with a balance of macronutrients. Listen to your body's hunger cues. Prioritize whole, unprocessed foods.",Engage in moderate physical activity for at least 30 minutes most days of the week. Mix cardio and strength.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,maintaining_balanced_diet,Monday,snack,Fruit Salad,None,"Maintain a varied diet with a balance of macronutrients. Listen to your body's hunger cues. Prioritize whole, unprocessed foods.",Engage in moderate physical activity for at least 30 minutes most days of the week. Mix cardio and strength.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,maintaining_balanced_diet,Monday,dinner,Vegetable Curry with Roti,None,"Maintain a varied diet with a balance of macronutrients. Listen to your body's hunger cues. Prioritize whole, unprocessed foods.",Engage in moderate physical activity for at least 30 minutes most days of the week. Mix cardio and strength.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,maintaining_balanced_diet,Tuesday,breakfast,Poha,Peanuts,"Maintain a varied diet with a balance of macronutrients. Listen to your body's hunger cues. Prioritize whole, unprocessed foods.",Engage in moderate physical activity for at least 30 minutes most days of the week. Mix cardio and strength.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
